"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"118",1724,"CNAD7","2800_31_2",30.9,"2800_31",3301.59,31,"ext","A","AD_N","N",12.793,0.003,"total",-0.729,2800,"31",-0.523518591953121,-0.802983453467991,-0.245841657574376
"119",1850,"CNTC10","280_28_3",27.9,"280_28",317.27,28,"pre","T","TC_N","N",5.395,0.003,"total",0.356,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"120",1865,"CNTD2","280_28_2",27.9,"280_28",314.65,28,"pre","T","TD_N","N",20.952,0.003,"total",0.191,280,"28",0.147463835210619,-0.137595283055753,0.432185972128948
"209",1510,"CFAA14","400_28_1",28,"400_28",408.25,28,"cur","A","AA_F","F",10.418,0.004,"total",0.079,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"210",1520,"CFAB2","280_28_1",28,"280_28",302.69,28,"pre","A","AB_F","F",10.698,0.004,"total",-0.018,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"211",1521,"CFAB3","400_31_1",31.1,"400_31",434.02,31,"cur","A","AB_F","F",11.497,0.004,"total",-0.319,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"212",1525,"CFAC1","280_31_2",30.9,"280_31",286.61,31,"pre","A","AC_F","F",8.561,0.004,"total",0.268,280,"31",0.228796449047385,-0.0384967659845292,0.496765820157954
"213",1527,"CFAC2","280_28_2",27.9,"280_28",314.65,28,"pre","A","AC_F","F",9.69,0.004,"total",0.101,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"214",1535,"CFAD2","280_28_2",27.9,"280_28",314.65,28,"pre","A","AD_F","F",8.646,0.004,"total",-0.399,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"215",1550,"CFAF5","700_31_3",30.9,"700_31",675.24,31,"eoc","A","AF_F","F",10.342,0.004,"total",-0.1,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"216",1628,"CFSA3","400_31_1",31.1,"400_31",434.02,31,"cur","S","SA_F","F",10.181,0.004,"total",0.182,400,"31",1.24255390135988,1.02582963682258,1.44786145780794
"217",1629,"CFSA5","700_31_1",30.9,"700_31",666.85,31,"eoc","S","SA_F","F",8.918,0.004,"total",1.692,700,"31",1.07105098794315,0.856092053646178,1.2857690503257
"218",1656,"CFSE1","280_31_3",30.9,"280_31",291.58,31,"pre","S","SE_F","F",8.451,0.004,"total",0.794,280,"31",1.09298725763116,0.853906462881658,1.33487669668653
"219",1702,"CNAA9","2800_28_1",28.1,"2800_28",3369.78,28,"ext","A","AA_N","N",10.005,0.004,"total",0.002,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"220",1714,"CNAC3","400_31_2",31.1,"400_31",447.02,31,"cur","A","AC_N","N",8.534,0.004,"total",0.538,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"221",1725,"CNAD8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","A","AD_N","N",9.482,0.004,"total",-1.068,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"222",1728,"CNAE11","400_28_3",28,"400_28",405.52,28,"cur","A","AE_N","N",9.245,0.004,"total",-0.174,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"223",1729,"CNAE2","280_28_3",27.9,"280_28",317.27,28,"pre","A","AE_N","N",8.297,0.004,"total",-0.344,280,"28",0.0722433527879416,-0.15926932249036,0.304121613389233
"224",1735,"CNAF10","400_28_3",28,"400_28",405.52,28,"cur","A","AF_N","N",7.282,0.004,"total",0.524,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"225",1738,"CNAF5","700_31_3",30.9,"700_31",675.24,31,"eoc","A","AF_N","N",11.216,0.004,"total",0.224,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"226",1791,"CNSA18","2800_31_1",30.9,"2800_31",3258.29,31,"ext","S","SA_N","N",8.888,0.004,"total",-0.048,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"227",1795,"CNSA7","2800_28_1",28.1,"2800_28",3369.78,28,"ext","S","SA_N","N",7.103,0.004,"total",-0.204,2800,"28",0.28034111994959,0.0698398891404972,0.492103020374241
